node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:_chicho02_,_chicho02_,account,2,1,1,0.0,0.0030605388887805073
acc:afortizd,afortizd,account,2,1,1,0.0,0.0030605388887805073
acc:alejandra.garcia1_,alejandra.garcia1_,account,2,1,1,0.0,0.0030605388887805073
acc:alfredogmk,alfredogmk,account,2,1,1,0.0,0.0030605388887805073
acc:andres__ms3,andres__ms3,account,2,1,1,0.0,0.0030605388887805073
acc:andresmr32,andresmr32,account,2,1,1,0.0,0.0030605388887805073
acc:camilo_0570,camilo_0570,account,2,1,1,0.0,0.0030605388887805073
acc:camilocantor_,camilocantor_,account,2,1,1,0.0,0.0030605388887805073
acc:cathe12vy,cathe12vy,account,2,1,1,0.0,0.0030605388887805073
acc:danii_elita.c,danii_elita.c,account,2,1,1,0.0,0.0030605388887805073
acc:danireyes_6,danireyes_6,account,2,1,1,0.0,0.0030605388887805073
acc:dayannaa__801,dayannaa__801,account,2,1,1,0.0,0.0030605388887805073
acc:dayra_triana0,dayra_triana0,account,2,1,1,0.0,0.0030605388887805073
acc:don_gabo17,don_gabo17,account,2,1,1,0.0,0.0030605388887805073
acc:edison_parrag,edison_parrag,account,2,1,1,0.0,0.0030605388887805073
acc:espitiakaren_,espitiakaren_,account,2,1,1,0.0,0.0030605388887805073
acc:gapamo03,gapamo03,account,2,1,1,0.0,0.0030605388887805073
acc:giovannitorres1180,giovannitorres1180,account,2,1,1,0.0,0.0030605388887805073
acc:gutierreztovar_jefferson,gutierreztovar_jefferson,account,2,1,1,0.0,0.0030605388887805073
acc:jessica_acossta,jessica_acossta,account,2,1,1,0.0,0.0030605388887805073
acc:joselito1987armando,joselito1987armando,account,2,1,1,0.0,0.0030605388887805073
acc:josephrn13,josephrn13,account,2,1,1,0.0,0.0030605388887805073
acc:jp.joya,jp.joya,account,2,1,1,0.0,0.0030605388887805073
acc:juanca_gallardo,juanca_gallardo,account,2,1,1,0.0,0.0030605388887805073
acc:julian_rincon_18,julian_rincon_18,account,2,1,1,0.0,0.0030605388887805073
acc:karencastro5596,karencastro5596,account,2,1,1,0.0,0.0030605388887805073
acc:karoll064678,karoll064678,account,2,1,1,0.0,0.0030605388887805073
