node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:_albinooox_,_albinooox_,account,2,1,1,0.0,0.005353121646739253
acc:_bsteven28_,_bsteven28_,account,2,1,1,0.0,0.005353121646739253
acc:_camilofive,_camilofive,account,2,1,1,0.0,0.005353121646739253
acc:andresmr32,andresmr32,account,2,1,1,0.0,0.005353121646739253
acc:arturito_rk,arturito_rk,account,2,1,1,0.0,0.005353121646739253
acc:byjumabr,byjumabr,account,2,1,1,0.0,0.005353121646739253
acc:crisinfante22,crisinfante22,account,2,1,1,0.0,0.005353121646739253
acc:davidbeltran851,davidbeltran851,account,2,1,1,0.0,0.005353121646739253
acc:dee_grisha,dee_grisha,account,2,1,1,0.0,0.005353121646739253
acc:dreiidka,dreiidka,account,2,1,1,0.0,0.005353121646739253
acc:felipe.parra11,felipe.parra11,account,2,1,1,0.0,0.005353121646739253
acc:fredy22quiroga,fredy22quiroga,account,2,1,1,0.0,0.005353121646739253
acc:gutierreztovar_jefferson,gutierreztovar_jefferson,account,2,1,1,0.0,0.005353121646739253
acc:itserick_o,itserick_o,account,2,1,1,0.0,0.005353121646739253
acc:jmbr_juanma,jmbr_juanma,account,2,1,1,0.0,0.005353121646739253
acc:juaaan_f,juaaan_f,account,2,1,1,0.0,0.005353121646739253
acc:karrurorori,karrurorori,account,2,1,1,0.0,0.005353121646739253
acc:kurariruraro,kurariruraro,account,2,1,1,0.0,0.005353121646739253
acc:lauraessus,lauraessus,account,2,1,1,0.0,0.005353121646739253
acc:lauraestepaaa,lauraestepaaa,account,2,1,1,0.0,0.005353121646739253
acc:mateo.fons,mateo.fons,account,2,1,1,0.0,0.005353121646739253
acc:metal_d_paul,metal_d_paul,account,2,1,1,0.0,0.005353121646739253
acc:r0driguez02,r0driguez02,account,2,1,1,0.0,0.005353121646739253
acc:samuel.v18,samuel.v18,account,2,1,1,0.0,0.005353121646739253
acc:sanmasterpro,sanmasterpro,account,2,1,1,0.0,0.005353121646739253
acc:santigl_0016,santigl_0016,account,2,1,1,0.0,0.005353121646739253
acc:wolfgang_shin_,wolfgang_shin_,account,2,1,1,0.0,0.005353121646739253
acc:wolfgang_shin_2.0,wolfgang_shin_2.0,account,2,1,1,0.0,0.005353121646739253
acc:433,433,account,1,1,0,0.0,0.005353121646739253
acc:__deleted__bhiebefhiijcaddcd,__deleted__bhiebefhiijcaddcd,account,1,1,0,0.0,0.005353121646739253
acc:_gxxmxxz_,_gxxmxxz_,account,1,1,0,0.0,0.005353121646739253
acc:_nicolas_pardo_,_nicolas_pardo_,account,1,1,0,0.0,0.005353121646739253
acc:_odd.97,_odd.97,account,1,1,0,0.0,0.005353121646739253
acc:ambar.kolbl,ambar.kolbl,account,1,1,0,0.0,0.005353121646739253
acc:antonicratv,antonicratv,account,1,1,0,0.0,0.005353121646739253
acc:auronplay,auronplay,account,1,1,0,0.0,0.005353121646739253
acc:billieeilish,billieeilish,account,1,1,0,0.0,0.005353121646739253
acc:blackpinkofficial,blackpinkofficial,account,1,1,0,0.0,0.005353121646739253
acc:cageero_,cageero_,account,1,1,0,0.0,0.005353121646739253
acc:carlosvaldes.vibe,carlosvaldes.vibe,account,1,1,0,0.0,0.005353121646739253
acc:cerezaconpastel,cerezaconpastel,account,1,1,0,0.0,0.005353121646739253
acc:cienciascomputacion.usa,cienciascomputacion.usa,account,1,1,0,0.0,0.005353121646739253
acc:confesiones.usergioarboleda,confesiones.usergioarboleda,account,1,1,0,0.0,0.005353121646739253
acc:dmartinex722,dmartinex722,account,1,1,0,0.0,0.005353121646739253
acc:el_yepas07,el_yepas07,account,1,1,0,0.0,0.005353121646739253
acc:elmarianaa,elmarianaa,account,1,1,0,0.0,0.005353121646739253
acc:elrubiuswtf,elrubiuswtf,account,1,1,0,0.0,0.005353121646739253
acc:encajagamer,encajagamer,account,1,1,0,0.0,0.005353121646739253
acc:f1,f1,account,1,1,0,0.0,0.005353121646739253
acc:fernanfloo,fernanfloo,account,1,1,0,0.0,0.005353121646739253
acc:gamecorporation,gamecorporation,account,1,1,0,0.0,0.005353121646739253
acc:gamersoficial,gamersoficial,account,1,1,0,0.0,0.005353121646739253
acc:germangarmendia,germangarmendia,account,1,1,0,0.0,0.005353121646739253
acc:honkaistarrail,honkaistarrail,account,1,1,0,0.0,0.005353121646739253
acc:jako.tienda,jako.tienda,account,1,1,0,0.0,0.005353121646739253
acc:jimenez_dav_,jimenez_dav_,account,1,1,0,0.0,0.005353121646739253
acc:juegalol,juegalol,account,1,1,0,0.0,0.005353121646739253
