node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:0_da_silva_0,0_da_silva_0,account,2,1,1,0.0,0.0016342088434493085
acc:1_vaneee_2,1_vaneee_2,account,2,1,1,0.0,0.0016342088434493085
acc:22paulavalentina,22paulavalentina,account,2,1,1,0.0,0.0016342088434493085
acc:_.ruizzz_,_.ruizzz_,account,2,1,1,0.0,0.0016342088434493085
acc:__.vamali.__,__.vamali.__,account,2,1,1,0.0,0.0016342088434493085
acc:_aloyyyyyyyy_,_aloyyyyyyyy_,account,2,1,1,0.0,0.0016342088434493085
acc:_kateeee.t,_kateeee.t,account,2,1,1,0.0,0.0016342088434493085
acc:_majc._,_majc._,account,2,1,1,0.0,0.0016342088434493085
acc:_paulasantos_g,_paulasantos_g,account,2,1,1,0.0,0.0016342088434493085
acc:_saaaaam_11,_saaaaam_11,account,2,1,1,0.0,0.0016342088434493085
acc:afrolike_jnb,afrolike_jnb,account,2,1,1,0.0,0.0016342088434493085
acc:aghh_231,aghh_231,account,2,1,1,0.0,0.0016342088434493085
acc:alejandravivaaas,alejandravivaaas,account,2,1,1,0.0,0.0016342088434493085
acc:alpr_pr,alpr_pr,account,2,1,1,0.0,0.0016342088434493085
acc:andres_herreraa45,andres_herreraa45,account,2,1,1,0.0,0.0016342088434493085
acc:annvasilevskaya,annvasilevskaya,account,2,1,1,0.0,0.0016342088434493085
acc:arturoporras_26,arturoporras_26,account,2,1,1,0.0,0.0016342088434493085
acc:baquero9897,baquero9897,account,2,1,1,0.0,0.0016342088434493085
acc:brigith2300,brigith2300,account,2,1,1,0.0,0.0016342088434493085
acc:brutalidadh,brutalidadh,account,2,1,1,0.0,0.0016342088434493085
acc:callejasalejandra6,callejasalejandra6,account,2,1,1,0.0,0.0016342088434493085
acc:camilo_lopez11.23,camilo_lopez11.23,account,2,1,1,0.0,0.0016342088434493085
acc:cammm.mp4,cammm.mp4,account,2,1,1,0.0,0.0016342088434493085
acc:carlosa.am,carlosa.am,account,2,1,1,0.0,0.0016342088434493085
acc:cata.linaleon,cata.linaleon,account,2,1,1,0.0,0.0016342088434493085
acc:comas_franco_,comas_franco_,account,2,1,1,0.0,0.0016342088434493085
acc:conexionformysoul,conexionformysoul,account,2,1,1,0.0,0.0016342088434493085
acc:cristobalibsis3,cristobalibsis3,account,2,1,1,0.0,0.0016342088434493085
acc:d_vidmecca,d_vidmecca,account,2,1,1,0.0,0.0016342088434493085
acc:danaaaa__sofi,danaaaa__sofi,account,2,1,1,0.0,0.0016342088434493085
acc:dani.masmella,dani.masmella,account,2,1,1,0.0,0.0016342088434493085
acc:daniela.01herrera,daniela.01herrera,account,2,1,1,0.0,0.0016342088434493085
acc:danireyes_6,danireyes_6,account,2,1,1,0.0,0.0016342088434493085
acc:dann_duarte26,dann_duarte26,account,2,1,1,0.0,0.0016342088434493085
