person_a,person_b,entity,type
andres,juan,afortizd,account
andres,franco,andresmr32,account
andres,franco,auronplay,account
andres,juan,auronplay,account
franco,juan,auronplay,account
andres,juan,centrodeidiomas_usa,account
andres,franco,confesiones.usergioarboleda,account
andres,juan,dani.masmella,account
andres,juan,danireyes_6,account
andres,franco,elrubiuswtf,account
andres,franco,gutierreztovar_jefferson,account
andres,juan,gutierreztovar_jefferson,account
franco,juan,gutierreztovar_jefferson,account
andres,juan,imposible_is._nothing,account
andres,juan,jalopezfa,account
andres,juan,jp.joya,account
andres,franco,juaaan_f,account
andres,juan,juanca_gallardo,account
andres,franco,julian_rincon_18,account
andres,juan,julian_rincon_18,account
franco,juan,julian_rincon_18,account
andres,juan,maril0.0,account
franco,juan,mateo.fons,account
andres,juan,miguel.flechas,account
andres,franco,nigg_.1,account
andres,juan,nigg_.1,account
franco,juan,nigg_.1,account
andres,juan,santiago_username,account
andres,franco,santigl_0016,account
andres,juan,santigl_0016,account
franco,juan,santigl_0016,account
andres,juan,sebas.u03,account
andres,franco,sergioarboleda_confesiones,account
andres,juan,tznani_cf,account
andres,franco,usergioarboleda,account
andres,juan,usergioarboleda,account
franco,juan,usergioarboleda,account
andres,franco,vegetta777,account
andres,franco,animals,topic
andres,juan,animals,topic
franco,juan,animals,topic
andres,franco,animation tv & movies,topic
andres,juan,animation tv & movies,topic
franco,juan,animation tv & movies,topic
franco,juan,basketball,topic
andres,franco,battle royale video games,topic
andres,juan,battle royale video games,topic
franco,juan,battle royale video games,topic
andres,franco,beauty,topic
andres,juan,beauty,topic
franco,juan,beauty,topic
franco,juan,beauty product types,topic
franco,juan,beauty products,topic
andres,franco,board games,topic
franco,juan,body art,topic
franco,juan,body modification,topic
andres,juan,boxing,topic
andres,franco,cars & trucks,topic
andres,franco,cats,topic
andres,juan,cats,topic
franco,juan,cats,topic
andres,juan,clothing & accessories,topic
andres,franco,combat sports,topic
andres,juan,combat sports,topic
franco,juan,combat sports,topic
andres,franco,dogs,topic
andres,juan,dogs,topic
franco,juan,dogs,topic
franco,juan,drinks,topic
andres,franco,fashion,topic
andres,juan,fashion,topic
franco,juan,fashion,topic
andres,franco,fashion products,topic
andres,juan,fashion products,topic
franco,juan,fashion products,topic
andres,franco,football family of sports,topic
andres,juan,football family of sports,topic
franco,juan,football family of sports,topic
franco,juan,footwear,topic
andres,franco,ground transportation,topic
andres,juan,ground transportation,topic
franco,juan,ground transportation,topic
andres,franco,gym workouts,topic
andres,juan,gym workouts,topic
franco,juan,gym workouts,topic
andres,franco,hair care,topic
andres,juan,hair care,topic
franco,juan,hair care,topic
andres,franco,mammals,topic
andres,juan,mammals,topic
franco,juan,mammals,topic
franco,juan,nails & nail care,topic
andres,franco,pets,topic
andres,juan,pets,topic
franco,juan,pets,topic
andres,franco,soccer,topic
andres,juan,soccer,topic
franco,juan,soccer,topic
franco,juan,survival video games,topic
andres,franco,tabletop games,topic
andres,juan,travel destinations,topic
andres,franco,tv & movies by genre,topic
andres,juan,tv & movies by genre,topic
franco,juan,tv & movies by genre,topic
andres,franco,types of sports,topic
andres,juan,types of sports,topic
franco,juan,types of sports,topic
andres,franco,video games,topic
andres,juan,video games,topic
franco,juan,video games,topic
andres,franco,video games by game play genre,topic
andres,juan,video games by game play genre,topic
franco,juan,video games by game play genre,topic
franco,juan,video games by theme,topic
andres,franco,visual arts,topic
andres,juan,visual arts,topic
franco,juan,visual arts,topic
